SourceSite,SourceWell,TargetSite,TargetWell,pgp,target
1,A1,3,A1,PGP001,MEIS1
1,A2,3,A1,PGP002,MEIS1
1,A3,3,A1,PGP003,TBX2
1,A4,3,A1,PGP004,TBX2
1,A1,3,A2,PGP001,MEIS1
1,A2,3,A2,PGP002,MEIS1
1,A5,3,A2,PGP005,blank
1,A7,3,A2,PGP006,CD19
1,A7,3,A2,PGP007,PAX3
1,A1,3,A3,PGP001,MEIS1
1,A2,3,A3,PGP002,MEIS1
1,A5,3,A3,PGP005,blank
1,A3,3,A3,PGP003,TBX2
1,A7,3,A3,PGP006,CD19
1,A4,3,A3,PGP004,TBX2
1,A1,3,A4,PGP001,MEIS1
1,A8,3,A4,PGP008,PAX3
1,A2,3,A4,PGP002,MEIS1
1,A5,3,A4,PGP005,blank
1,A3,3,A4,PGP003,TBX2
1,A7,3,A4,PGP006,CD19
1,A4,3,A4,PGP004,TBX2
1,A1,3,A5,PGP001,MEIS1
1,A8,3,A5,PGP008,PAX3
1,A2,3,A5,PGP002,MEIS1
1,A5,3,A5,PGP005,blank
1,A3,3,A5,PGP003,TBX2
1,A7,3,A5,PGP006,CD19
1,A4,3,A5,PGP004,TBX2
1,A7,3,A5,PGP007,PAX3
